Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,10:04:03:690,Long Strafe Bot,ADSable Hitscan Cone,5.054s,2793,543,0.194,508,2540,0.2,false
2,10:04:09:649,Long Strafe Bot,ADSable Hitscan Cone,5.698s,2694,508,0.189,508,2450,0.207,false
3,10:04:15:286,Long Strafe Bot,ADSable Hitscan Cone,5.373s,2463,537,0.218,500,2240,0.223,false
4,10:04:20:682,Long Strafe Bot,ADSable Hitscan Cone,5.146s,2606,557,0.214,508,2370,0.214,false
5,10:04:27:180,Long Strafe Bot,ADSable Hitscan Cone,6.232s,3145,547,0.174,501,2860,0.175,false
6,10:04:34:045,Long Strafe Bot,ADSable Hitscan Cone,6.613s,3442,501,0.146,501,3130,0.16,false
7,10:04:39:301,Long Strafe Bot,ADSable Hitscan Cone,4.997s,2639,551,0.209,505,2400,0.21,false
8,10:04:46:531,Long Strafe Bot,ADSable Hitscan Cone,5.497s,3035,546,0.18,503,2760,0.182,false
9,10:04:51:730,Long Strafe Bot,ADSable Hitscan Cone,4.947s,2573,540,0.21,502,2340,0.215,false
10,10:04:59:793,Long Strafe Bot,ADSable Hitscan Cone,7.802s,3475,501,0.144,501,3160,0.159,false
11,10:05:05:467,Long Strafe Bot,ADSable Hitscan Cone,5.437s,2903,583,0.201,578,2640,0.219,false
12,10:05:09:011,Long Strafe Bot,ADSable Hitscan Cone,3.298s,1733,454,0.262,426,1576,0.27,false
13,10:05:12:805,Long Strafe Bot,ADSable Hitscan Cone,3.541s,1627,547,0.336,501,1480,0.339,false
14,10:05:18:201,Long Strafe Bot,ADSable Hitscan Cone,5.135s,2694,501,0.186,501,2450,0.204,false
15,10:05:24:377,Long Strafe Bot,ADSable Hitscan Cone,5.912s,2848,538,0.189,500,2590,0.193,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
ADSable Hitscan Cone,41715,8124,7713.0,37936.0,

Kills:,15
Deaths:,0
Fight Time:,80.681999
Avg TTK:,5.379
Damage Done:,7713.0
Damage Taken:,0.0
Midairs:,94
Midaired:,0
Directs:,411
Directed:,0
Distance Traveled:,0.0
Score:,1568.177124
Scenario:,Ascended Tracking v3
Hash:,46026d159b844451a38af3608d7c9e8a
Game Version:,1.0.7.2

Input Lag:,0
Max FPS (config):,120.0
Sens Scale:,Apex Legends
Horiz Sens:,3.0
Vert Sens:,3.0
FOV:,104.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
